Title,Rank,Artist,URL,Trend,Streams,Streams increase since last release,Weeks in top 200,Consecutive weeks in top 200,Best rank,Prior rank,Rank change,Up or down,Song rank in next top 200 release,Streams in next release,In next release
Black & White,182,Juice WRLD,https://open.spotify.com/track/1fCeXjoRExPP2qwSBh2aST,MOVE_DOWN,"221,389","9,724",34,7,142,176,6,-1,195,227858,1
Believer,184,Imagine Dragons,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,MOVE_DOWN,"220,768",-604,152,28,121,160,24,-1,193,228661,1
Swervin (feat. 6ix9ine),43,A Boogie Wit da Hoodie,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,MOVE_DOWN,"528,143","12,108",34,34,39,41,2,-1,40,536768,1
Touch Eem Body,82,"XXXTENTACION, Bass Santana, Kin$oul, Reddz",https://open.spotify.com/track/2WOxBv9WElDqB0opEAbCC4,NEW_ENTRY,"392,449","292,449",1,1,82,201,-119,1,159,260418,1
Congratulations,112,"Post Malone, Quavo",https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,MOVE_DOWN,"326,667","9,935",749,29,5,109,3,-1,112,330141,1
all my friends,118,21 Savage,https://open.spotify.com/track/4paAidoE8VAemwU4jgCc6l,MOVE_DOWN,"316,550",-583,34,34,11,108,10,-1,109,331938,1
Tequila,137,Dan + Shay,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y,MOVE_DOWN,"287,092",290,206,29,55,124,13,-1,135,287969,1
Lust,157,Lil Skies,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S,MOVE_DOWN,"259,763","10,242",351,29,75,148,9,-1,157,263068,1
NI BIEN NI MAL,177,Bad Bunny,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,MOVE_DOWN,"243,277","2,348",31,31,88,159,18,-1,164,251869,1
Beautiful Crazy,198,Luke Combs,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde,MOVE_DOWN,"226,971","-1,603",191,3,100,173,25,-1,187,234145,1
7 rings,2,Ariana Grande,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,MOVE_DOWN,"3,340,577","-166,162",7,7,1,1,1,-1,2,3311371,1
Wake Up in the Sky,18,"Gucci Mane, Bruno Mars, Kodak Black",https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,MOVE_DOWN,"781,419","5,285",49,49,11,17,1,-1,17,826409,1
when the party's over,33,Billie Eilish,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,MOVE_UP,"608,994","7,153",100,100,10,34,-1,1,37,587465,1
Arms Around You (feat. Maluma & Swae Lee),57,"XXXTENTACION, Lil Pump",https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,MOVE_DOWN,"458,286","-5,562",92,92,2,55,2,-1,75,433913,1
BAD!,66,XXXTENTACION,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ,MOVE_DOWN,"438,484","-5,155",49,49,3,61,5,-1,70,440846,1
10 Freaky Girls (with 21 Savage),76,Metro Boomin,https://open.spotify.com/track/0AluA5RNsa4Cx6XRhf2hWZ,MOVE_UP,"405,438","14,484",65,65,21,83,-7,1,79,418198,1
Look Alive (feat. Drake),91,BlocBoy JB,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL,SAME_POSITION,"366,497","-4,568",350,350,2,91,0,0,92,383139,1
Secreto,103,"Anuel AA, KAROL G",https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,MOVE_UP,"337,783","3,325",9,9,95,109,-6,1,105,347680,1
STARGAZING,137,Travis Scott,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m,MOVE_UP,"285,756",-921,173,30,1,139,-2,1,133,302327,1
can't leave without it,158,21 Savage,https://open.spotify.com/track/0hPLZrnDgtKxrym1BHjDhd,MOVE_DOWN,"261,864",-553,35,35,22,155,3,-1,164,268443,1
Uproar,163,"Lil Wayne, Swizz Beatz",https://open.spotify.com/track/3wScL5W8H40zzCKN0atfBk,MOVE_DOWN,"252,762",-148,117,30,3,162,1,-1,163,269163,1
Don't Come Out The House (with 21 Savage),167,Metro Boomin,https://open.spotify.com/track/2Grb4G6t9VIqo6moKUloom,MOVE_DOWN,"249,405","-2,926",63,30,34,163,4,-1,171,257323,1
Wake Up in the Sky,17,"Gucci Mane, Bruno Mars, Kodak Black",https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,MOVE_UP,"826,409","44,990",50,50,11,18,-1,1,16,826339,1
Moonlight,34,XXXTENTACION,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,MOVE_DOWN,"627,596","9,176",316,316,2,30,4,-1,28,642100,1
Murder On My Mind,87,YNW Melly,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,MOVE_UP,"390,549","28,649",122,31,87,93,-6,1,89,357835,1
TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,153,Tory Lanez,https://open.spotify.com/track/51w9Jbat1pLeWINGCpnQUR,MOVE_DOWN,"284,201","16,668",16,15,151,151,2,-1,131,281809,1
Look At Me!,156,XXXTENTACION,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s,MOVE_DOWN,"275,451","6,764",306,31,20,150,6,-1,129,282731,1
can't leave without it,164,21 Savage,https://open.spotify.com/track/0hPLZrnDgtKxrym1BHjDhd,MOVE_DOWN,"268,443","6,579",36,36,22,158,6,-1,169,232526,1
Te Boté - Remix,175,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,MOVE_UP,"251,995","13,744",282,31,35,179,-4,1,159,248466,1
Beautiful Crazy,182,Luke Combs,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde,MOVE_UP,"242,700","8,555",193,5,100,187,-5,1,184,220543,1
Bad Liar,191,Imagine Dragons,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,MOVE_DOWN,"238,077","-11,775",77,31,25,166,25,-1,201,100000,0
Without Me,8,Halsey,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,MOVE_DOWN,"1,147,545","-129,298",115,115,5,6,2,-1,8,1028337,1
ZEZE (feat. Travis Scott & Offset),10,Kodak Black,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,MOVE_UP,"1,052,409","-10,023",44,44,3,12,-2,1,10,940311,1
First Off (feat. Travis Scott),22,Future,https://open.spotify.com/track/3WRIaWsws011vHMd9uzPjG,SAME_POSITION,"677,445","-53,304",9,9,9,22,0,0,27,581775,1
Lost in the Fire,32,"Gesaffelstein, The Weeknd",https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG,MOVE_DOWN,"588,509","-106,228",16,16,7,28,4,-1,35,525187,1
Love Lies (with Normani),117,Khalid,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,SAME_POSITION,"300,455","-28,106",343,32,8,117,0,0,113,276655,1
I Love It (& Lil Pump),127,Kanye West,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,MOVE_UP,"286,750","-3,564",141,32,1,145,-18,1,131,255184,1
Uproar,149,"Lil Wayne, Swizz Beatz",https://open.spotify.com/track/3wScL5W8H40zzCKN0atfBk,MOVE_UP,"260,584","-8,579",119,32,3,163,-14,1,155,228218,1
Ella Quiere Beber - Remix,188,"Anuel AA, Romeo Santos",https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,MOVE_UP,"216,913","-18,925",8,2,183,196,-8,1,197,192431,1
Drowning (feat. Kodak Black),192,A Boogie Wit da Hoodie,https://open.spotify.com/track/1f5cbQtDrykjarZVrShaDI,NEW_ENTRY,"214,622","114,622",299,1,18,201,-9,1,189,195996,1
So Close,195,"NOTD, Felix Jaehn, Captain Cuts, Georgia Ku",https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK,MOVE_DOWN,"212,683","-41,485",5,3,173,173,22,-1,201,100000,0
Going Bad (feat. Drake),5,Meek Mill,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,SAME_POSITION,"1,261,329","-187,407",59,59,2,5,0,0,5,1358017,1
Drip Too Hard (Lil Baby & Gunna),6,Lil Baby,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,SAME_POSITION,"1,070,657","-117,339",115,115,1,6,0,0,6,1126364,1
Money,20,Cardi B,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,SAME_POSITION,"643,158","-86,908",97,97,9,20,0,0,21,647374,1
Girls Have Fun (feat. G-Eazy & Rich The Kid),79,Tyga,https://open.spotify.com/track/1NHlyKgtR4roNylOhidKSv,MOVE_DOWN,"345,806","-82,609",4,4,42,63,16,-1,106,320315,1
God is a woman,114,Ariana Grande,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,MOVE_DOWN,"275,469","-30,608",163,33,6,112,2,-1,118,296862,1
Young Dumb & Broke,132,Khalid,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,MOVE_UP,"253,953","-21,274",652,33,5,135,-3,1,134,271360,1
Walk,144,Comethazine,https://open.spotify.com/track/21kOVEG3bDCVphKhXL8XmQ,SAME_POSITION,"244,979","-21,691",75,33,109,144,0,0,138,267710,1
NI BIEN NI MAL,173,Bad Bunny,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,MOVE_DOWN,"207,730","-26,907",35,35,88,165,8,-1,171,230038,1
Wow.,3,Post Malone,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,MOVE_UP,"1,776,557","278,428",36,36,1,4,-1,1,3,1914988,1
Crushed Up,42,Future,https://open.spotify.com/track/7wcyO1rrH3Ru4t659IjG41,MOVE_DOWN,"530,307","40,710",11,11,15,40,2,-1,44,536032,1
Jocelyn Flores,48,XXXTENTACION,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,MOVE_DOWN,"484,998","9,880",522,522,2,43,5,-1,49,495267,1
Nonstop,53,Drake,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,MOVE_DOWN,"455,060","-1,111",193,193,3,47,6,-1,53,464496,1
breathin,83,Ariana Grande,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,MOVE_UP,"358,851","33,450",164,34,4,91,-8,1,93,355577,1
1400 / 999 Freestyle,102,"Trippie Redd, Juice WRLD",https://open.spotify.com/track/75lcPkAkUsKWHGBlGM476R,MOVE_UP,"324,719","28,317",80,34,15,105,-3,1,100,334914,1
Girls Like You (feat. Cardi B),122,Maroon 5,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,MOVE_DOWN,"289,101","16,247",226,34,6,116,6,-1,120,295828,1
SLOW DANCING IN THE DARK,123,Joji,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,MOVE_UP,"285,612","49,764",85,27,37,150,-27,1,132,283477,1
Praise The Lord (Da Shine) (feat. Skepta),162,A$AP Rocky,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,MOVE_DOWN,"236,737","11,795",243,34,5,159,3,-1,162,246882,1
Uproar,165,"Lil Wayne, Swizz Beatz",https://open.spotify.com/track/3wScL5W8H40zzCKN0atfBk,MOVE_DOWN,"233,449","5,231",121,34,3,155,10,-1,168,240283,1
Taking A Walk,185,Trippie Redd,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2,MOVE_UP,"218,055","26,785",164,2,6,199,-14,1,190,221563,1
BUTTERFLY EFFECT,193,Travis Scott,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4,MOVE_DOWN,"212,702","3,110",168,4,18,172,21,-1,192,221197,1
1-800-273-8255,195,"Logic, Alessia Cara, Khalid",https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,MOVE_DOWN,"210,635","16,550",571,3,1,193,2,-1,194,220020,1
Dancing With A Stranger (with Normani),10,Sam Smith,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,MOVE_UP,"974,019","36,081",19,19,10,11,-1,1,12,924633,1
Leave Me Alone,15,Flipp Dinero,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,SAME_POSITION,"828,243","30,071",147,147,10,15,0,0,15,806112,1
Thotiana,25,Blueface,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,MOVE_UP,"656,969","44,184",24,24,25,28,-3,1,22,673043,1
Fuck Love (feat. Trippie Redd),69,XXXTENTACION,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,MOVE_DOWN,"405,858","9,169",523,523,5,67,2,-1,69,404098,1
Youngblood,87,5 Seconds of Summer,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,SAME_POSITION,"364,497","10,758",228,35,12,87,0,0,85,361428,1
breathin,93,Ariana Grande,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,MOVE_DOWN,"355,577","-3,274",165,35,4,83,10,-1,92,350151,1
Topanga,97,Trippie Redd,https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO,MOVE_UP,"341,605","4,125",82,82,10,98,-1,1,99,330272,1
Undecided,116,Chris Brown,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx,MOVE_UP,"304,595","24,357",22,12,113,128,-12,1,119,295707,1
comethru,157,Jeremy Zucker,https://open.spotify.com/track/6fFTPGGItuEpjwXRUIr4rk,MOVE_UP,"249,916","18,632",11,3,157,169,-12,1,155,246833,1
Don't Stop Me Now - Remastered 2011,180,Queen,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,MOVE_DOWN,"227,871",366,64,6,69,173,7,-1,192,217656,1
Going Bad (feat. Drake),5,Meek Mill,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,SAME_POSITION,"1,325,152","-70,532",62,62,2,5,0,0,6,1308589,1
Hope,39,"The Chainsmokers, Winona Oak",https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5,MOVE_DOWN,"559,186","-22,778",25,24,37,37,2,-1,34,600251,1
Sweet but Psycho,67,Ava Max,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,MOVE_DOWN,"406,936","-20,661",114,36,30,62,5,-1,64,415392,1
God is a woman,125,Ariana Grande,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,MOVE_DOWN,"285,690","-9,620",166,36,6,121,4,-1,129,281294,1
Young Dumb & Broke,130,Khalid,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,MOVE_UP,"277,765",-413,655,36,5,136,-6,1,136,277101,1
Say You Won't Let Go,154,James Arthur,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,MOVE_UP,"247,153",899,568,11,14,163,-9,1,159,247997,1
Praise The Lord (Da Shine) (feat. Skepta),166,A$AP Rocky,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,MOVE_DOWN,"240,823","-6,059",245,36,5,162,4,-1,161,245080,1
Wow.,3,Post Malone,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,SAME_POSITION,"1,800,340","15,490",39,39,1,3,0,0,4,1914196,1
Splashin,33,Rich The Kid,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb,MOVE_DOWN,"612,583","-2,835",52,51,27,30,3,-1,30,674282,1
Hope,34,"The Chainsmokers, Winona Oak",https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5,MOVE_UP,"600,251","41,065",26,25,34,39,-5,1,34,657418,1
Space Cadet (feat. Gunna),36,Metro Boomin,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz,MOVE_UP,"590,075","7,143",72,72,33,37,-1,1,41,586773,1
Sauce!,43,XXXTENTACION,https://open.spotify.com/track/3jq1RpStaB1YGyN3rRZGca,MOVE_DOWN,"516,644","-20,554",9,9,19,41,2,-1,50,490124,1
monster,67,21 Savage,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU,MOVE_DOWN,"407,151","-5,614",42,42,12,64,3,-1,78,408121,1
No Stylist (feat. Drake),71,French Montana,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,SAME_POSITION,"402,210","3,068",133,133,14,71,0,0,72,421814,1
all my friends,139,21 Savage,https://open.spotify.com/track/4paAidoE8VAemwU4jgCc6l,MOVE_DOWN,"267,718","-4,583",42,42,11,136,3,-1,167,256961,1
Location,144,Khalid,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,MOVE_DOWN,"263,423",488,747,37,9,143,1,-1,155,271529,1
Trampoline,150,SHAED,https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk,MOVE_UP,"257,506","11,069",36,36,75,156,-6,1,166,259733,1
Thunder,168,Imagine Dragons,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,MOVE_DOWN,"240,976",-880,165,37,100,162,6,-1,176,250912,1
Don't Come Out The House (with 21 Savage),173,Metro Boomin,https://open.spotify.com/track/2Grb4G6t9VIqo6moKUloom,MOVE_DOWN,"234,037",-728,70,37,34,170,3,-1,183,242125,1
Keanu Reeves,18,Logic,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK,MOVE_UP,"844,406","142,322",15,15,13,21,-3,1,20,763787,1
Better Now,29,Post Malone,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,MOVE_DOWN,"674,826","28,439",281,281,1,27,2,-1,27,656170,1
Splashin,30,Rich The Kid,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb,MOVE_UP,"674,282","61,699",53,52,27,33,-3,1,28,633444,1
idontwannabeyouanymore,52,Billie Eilish,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,SAME_POSITION,"474,348","26,667",57,57,40,52,0,0,63,414139,1
Sweet but Psycho,65,Ava Max,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,MOVE_DOWN,"436,078","20,686",116,38,30,64,1,-1,65,409859,1
Falling Down - Bonus Track,115,"Lil Peep, XXXTENTACION",https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9,MOVE_DOWN,"330,268","10,174",85,85,13,110,5,-1,112,305965,1
In My Feelings,123,Drake,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,MOVE_DOWN,"317,299","15,241",197,197,1,118,5,-1,94,339025,1
Bones (feat. OneRepublic),143,Galantis,https://open.spotify.com/track/1pfgsjmxVZhoZpeDx6POKv,NEW_ENTRY,"288,556","188,556",1,1,143,201,-58,1,201,100000,0
Plug Walk,145,Rich The Kid,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6,MOVE_DOWN,"278,432","14,791",185,38,49,143,2,-1,137,270978,1
Candy Paint,148,Post Malone,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC,MOVE_DOWN,"276,071","14,948",274,38,16,145,3,-1,143,266010,1
New Patek,154,Lil Uzi Vert,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud,MOVE_DOWN,"272,287","11,175",135,38,1,146,8,-1,149,255997,1
Location,155,Khalid,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,MOVE_DOWN,"271,529","8,106",748,38,9,144,11,-1,150,254793,1
Project Dreams,165,"Marshmello, Roddy Ricch",https://open.spotify.com/track/6GSkLS2y4ZnnZsuRAj975K,MOVE_UP,"259,907","32,452",8,8,130,180,-15,1,145,263185,1
Nonstop,48,Drake,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,MOVE_UP,"469,287","-8,322",198,198,3,51,-3,1,48,439373,1
Crushed Up,49,Future,https://open.spotify.com/track/7wcyO1rrH3Ru4t659IjG41,MOVE_DOWN,"465,735","-39,718",16,16,15,46,3,-1,49,431939,1
Calling My Spirit,55,Kodak Black,https://open.spotify.com/track/2MShy1GSSgbmGUxADNIao5,MOVE_DOWN,"435,323","-36,305",51,51,27,53,2,-1,56,396427,1
Bleed It,89,Blueface,https://open.spotify.com/track/67fNrBUMc7iWMofdCaoJV9,MOVE_UP,"352,247","-21,473",16,16,89,94,-5,1,92,325588,1
Girls Like You (feat. Cardi B),110,Maroon 5,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,MOVE_UP,"311,927","-4,849",231,39,6,124,-14,1,93,320025,1
This Feeling,114,"The Chainsmokers, Kelsea Ballerini",https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,MOVE_UP,"302,773","-23,147",42,39,101,117,-3,1,115,281420,1
Demons and Angels (feat. Juice WRLD),125,A Boogie Wit da Hoodie,https://open.spotify.com/track/3L19besdNQzd342qL78xqm,MOVE_DOWN,"294,270","-47,846",44,44,30,109,16,-1,125,272623,1
Trip,126,Ella Mai,https://open.spotify.com/track/6CTWathupIiDs7U4InHnDA,MOVE_DOWN,"292,353","-31,852",112,39,35,119,7,-1,123,275262,1
my boy,162,Billie Eilish,https://open.spotify.com/track/0FQhAHyHGsrbSHvDURmFPn,MOVE_DOWN,"240,767","-29,981",28,4,156,156,6,-1,158,230970,1
Ella Quiere Beber - Remix,180,"Anuel AA, Romeo Santos",https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,NEW_ENTRY,"227,003","127,003",10,1,180,201,-21,1,187,205132,1
Black & White,192,Juice WRLD,https://open.spotify.com/track/1fCeXjoRExPP2qwSBh2aST,MOVE_UP,"219,086","-13,897",45,18,142,199,-7,1,186,205360,1
Happier,12,"Marshmello, Bastille",https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,MOVE_UP,"966,760","154,728",171,171,5,17,-5,1,13,938352,1
"thank u, next",15,Ariana Grande,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,MOVE_DOWN,"874,827","-71,383",92,92,1,14,1,-1,14,863441,1
Saturday Nights,19,Khalid,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,MOVE_UP,"707,166","-55,799",102,73,13,21,-2,1,19,710987,1
Money,25,Cardi B,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,MOVE_UP,"607,033","-50,246",104,104,9,26,-1,1,32,590096,1
Fuck Love (feat. Trippie Redd),69,XXXTENTACION,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,MOVE_UP,"369,981","-23,191",528,528,5,72,-3,1,76,363228,1
Demons and Angels (feat. Juice WRLD),125,A Boogie Wit da Hoodie,https://open.spotify.com/track/3L19besdNQzd342qL78xqm,SAME_POSITION,"272,623","-21,647",45,45,30,125,0,0,108,303361,1
Nice For What,126,Drake,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,MOVE_DOWN,"270,985","-23,694",197,40,10,124,2,-1,146,252983,1
Plug Walk,145,Rich The Kid,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6,MOVE_DOWN,"246,717","-24,261",187,40,49,137,8,-1,166,230710,1
BUTTERFLY EFFECT,163,Travis Scott,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4,MOVE_UP,"225,513","-9,297",174,10,18,169,-6,1,160,234531,1
Praise The Lord (Da Shine) (feat. Skepta),166,A$AP Rocky,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,MOVE_DOWN,"222,680","-22,802",249,40,5,158,8,-1,178,221223,1
Let You Down,184,NF,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL,MOVE_DOWN,"207,801","-17,957",199,40,19,181,3,-1,189,213750,1
Swervin (feat. 6ix9ine),26,A Boogie Wit da Hoodie,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,MOVE_UP,"619,208","58,375",46,46,26,31,-5,1,25,673915,1
Calling My Spirit,53,Kodak Black,https://open.spotify.com/track/2MShy1GSSgbmGUxADNIao5,MOVE_UP,"416,168","19,741",53,53,27,56,-3,1,53,445606,1
Racks on Racks,66,Lil Pump,https://open.spotify.com/track/0SfG57HqtBNqKN9O27fo1s,MOVE_DOWN,"376,688","-22,590",4,4,33,54,12,-1,103,324754,1
whoa (mind in awe),68,XXXTENTACION,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa,MOVE_DOWN,"376,021","-9,185",60,60,1,61,7,-1,67,393627,1
No Stylist (feat. Drake),74,French Montana,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,MOVE_DOWN,"365,717","-7,722",137,137,14,65,9,-1,65,401803,1
imagine,81,Ariana Grande,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,MOVE_DOWN,"353,834","10,324",53,53,2,80,1,-1,82,373424,1
ocean eyes,87,Billie Eilish,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,MOVE_UP,"342,118","31,115",151,41,61,97,-10,1,85,365197,1
Ric Flair Drip (& Metro Boomin),92,Offset,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,MOVE_DOWN,"328,943","-10,509",461,41,4,83,9,-1,89,357896,1
Congratulations,106,"Post Malone, Quavo",https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,MOVE_DOWN,"304,613","-24,700",761,41,5,88,18,-1,105,323460,1
Falling Down - Bonus Track,112,"Lil Peep, XXXTENTACION",https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9,MOVE_UP,"293,450","5,918",88,88,13,113,-1,1,115,306113,1
3 Nights,132,Dominic Fike,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,MOVE_UP,"266,465","18,907",10,10,121,143,-11,1,135,278203,1
Baila Baila Baila,186,Ozuna,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,MOVE_DOWN,"216,931","8,251",5,4,175,179,7,-1,182,234079,1
Hope,191,XXXTENTACION,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah,MOVE_DOWN,"211,766","-21,183",264,41,10,156,35,-1,200,221729,1
a lot,6,21 Savage,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,MOVE_UP,"1,402,723","223,532",47,47,2,8,-2,1,6,1375993,1
Look Back at It,9,A Boogie Wit da Hoodie,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,SAME_POSITION,"1,122,939","70,462",47,47,8,9,0,0,9,1095450,1
ZEZE (feat. Travis Scott & Offset),15,Kodak Black,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,SAME_POSITION,"895,305","69,182",54,54,3,15,0,0,15,890538,1
SAD!,28,XXXTENTACION,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,SAME_POSITION,"647,025","40,238",327,327,1,28,0,0,28,654770,1
Yes Indeed,64,"Lil Baby, Drake",https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ,MOVE_UP,"410,264","28,057",264,264,2,65,-1,1,62,410664,1
STARGAZING,120,Travis Scott,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m,MOVE_DOWN,"298,450","8,860",185,42,1,115,5,-1,120,291582,1
Silence,123,"Marshmello, Khalid",https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,MOVE_UP,"290,109","22,362",442,5,7,130,-7,1,124,289495,1
Undecided,131,Chris Brown,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx,MOVE_UP,"279,950","17,534",29,19,113,134,-3,1,143,267826,1
SLOW DANCING IN THE DARK,137,Joji,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,MOVE_DOWN,"276,640","2,032",93,35,37,125,12,-1,134,277929,1
my boy,138,Billie Eilish,https://open.spotify.com/track/0FQhAHyHGsrbSHvDURmFPn,MOVE_UP,"275,429","16,215",31,7,138,142,-4,1,137,274320,1
